0,0,1,4
0,1,1,76
1,0,1,30
1,1,1,120
0,2,2,83
2,0,1,60
2,1,1,120
3,0,1,30
3,1,1,60
2,2,1,120
2,3,1,120
3,2,1,60
3,3,1,76
0,4,1,90
0,5,1,120
1,4,1,90
1,5,1,60
0,6,2,0
2,4,1,90
2,5,1,4
3,4,1,120
3,5,1,4
2,6,2,0
4,0,1,76
4,1,1,76
5,0,1,120
5,1,1,120
4,2,2,86
6,0,1,120
6,1,1,76
7,0,1,90
7,1,1,90
6,2,1,76
6,3,1,76
7,2,1,90
7,3,1,120
4,4,1,120
4,5,1,4
5,4,1,60
5,5,1,4
4,6,2,0
6,4,1,4
6,5,1,4
7,4,1,60
7,5,1,4
6,6,2,0
0,8,4,0
0,12,2,0
0,14,2,47
2,12,1,0
2,13,1,51
3,12,1,0
3,13,1,74
2,14,2,49
4,8,4,0
4,12,1,0
4,13,1,97
5,12,1,104
5,13,1,109
4,14,1,85
4,15,1,70
5,14,1,107
5,15,1,96
6,12,2,95
6,14,1,103
6,15,1,104
7,14,1,83
7,15,1,83
8,0,1,30
8,1,1,30
9,0,1,120
9,1,1,120
8,2,1,30
8,3,1,120
9,2,1,120
9,3,1,120
10,0,2,0
10,2,2,0
8,4,1,60
8,5,1,4
9,4,1,30
9,5,1,4
8,6,2,0
10,4,2,0
10,6,2,0
12,0,4,0
12,4,4,0
8,8,2,0
8,10,1,0
8,11,1,125
9,10,1,0
9,11,1,129
10,8,2,0
10,10,1,0
10,11,1,114
11,10,1,86
11,11,1,93
8,12,1,118
8,13,1,100
9,12,1,129
9,13,1,119
8,14,1,82
8,15,1,64
9,14,1,97
9,15,1,78
10,12,2,102
10,14,2,90
12,8,2,0
12,10,2,58
14,8,1,0
14,9,1,0
15,8,1,0
15,9,1,48
14,10,2,52
12,12,4,68
0,16,4,51
0,20,2,57
0,22,2,49
2,20,2,48
2,22,2,33
4,16,1,57
4,17,1,49
5,16,1,77
5,17,1,62
4,18,2,48
6,16,2,101
6,18,1,94
6,19,1,78
7,18,1,108
7,19,1,108
4,20,2,43
4,22,2,38
6,20,1,55
6,21,1,44
7,20,1,105
7,21,1,87
6,22,1,38
6,23,1,33
7,22,1,66
7,23,1,50
0,24,8,34
8,16,2,59
8,18,1,77
8,19,1,89
9,18,1,51
9,19,1,51
10,16,2,74
10,18,2,59
8,20,1,96
8,21,1,92
9,20,1,53
9,21,1,62
8,22,2,75
10,20,2,54
10,22,2,50
12,16,4,65
12,20,4,47
8,24,4,54
8,28,4,29
12,24,4,34
12,28,4,24
16,0,4,0
16,4,4,0
20,0,4,0
20,4,2,0
20,6,1,0
20,7,1,0
21,6,1,0
21,7,1,103
22,4,2,0
22,6,1,0
22,7,1,97
23,6,1,0
23,7,1,77
16,8,1,0
16,9,1,48
17,8,1,0
17,9,1,67
16,10,2,51
18,8,2,109
18,10,2,96
16,12,2,54
16,14,2,49
18,12,2,80
18,14,2,59
20,8,2,103
20,10,2,90
22,8,1,94
22,9,1,90
23,8,1,72
23,9,1,70
22,10,1,81
22,11,1,75
23,10,1,59
23,11,1,57
20,12,1,87
20,13,1,81
21,12,1,72
21,13,1,60
20,14,2,57
22,12,2,55
22,14,2,41
24,0,4,0
24,4,2,0
24,6,2,53
26,4,2,0
26,6,1,81
26,7,1,77
27,6,1,97
27,7,1,103
28,0,4,0
28,4,1,0
28,5,1,94
29,4,1,0
29,5,1,87
28,6,2,94
30,4,1,0
30,5,1,90
31,4,1,104
31,5,1,104
30,6,2,101
24,8,2,51
24,10,2,45
26,8,1,85
26,9,1,92
27,8,1,108
27,9,1,114
26,10,1,93
26,11,1,86
27,10,1,118
27,11,1,116
24,12,2,32
24,14,2,28
26,12,1,77
26,13,1,64
27,12,1,111
27,13,1,103
26,14,1,44
26,15,1,33
27,14,1,85
27,15,1,70
28,8,4,114
28,12,4,102
16,16,8,33
16,24,8,21
24,16,4,25
24,20,4,15
28,16,2,68
28,18,2,39
30,16,2,77
30,18,2,54
28,20,4,12
24,24,8,6
0,32,2,70
0,34,2,77
2,32,2,52
2,34,2,64
0,36,2,79
0,38,2,85
2,36,2,65
2,38,2,62
4,32,4,30
4,36,4,30
0,40,2,90
0,42,2,83
2,40,2,63
2,42,2,66
0,44,4,59
4,40,4,36
4,44,4,49
8,32,8,15
8,40,4,36
8,44,4,45
12,40,4,10
12,44,4,12
0,48,2,33
0,50,2,23
2,48,2,52
2,50,2,40
0,52,2,12
0,54,2,8
2,52,2,33
2,54,2,25
4,48,4,40
4,52,4,31
0,56,8,14
8,48,4,31
8,52,4,19
12,48,4,11
12,52,4,16
8,56,4,21
8,60,4,30
12,56,2,19
12,58,2,15
14,56,2,31
14,58,2,40
12,60,2,17
12,62,2,26
14,60,2,39
14,62,2,44
16,32,16,10
16,48,16,12
32,0,2,0
32,2,2,0
34,0,2,0
34,2,1,0
34,3,1,137
35,2,1,0
35,3,1,131
32,4,2,124
32,6,2,124
34,4,2,142
34,6,2,143
36,0,2,0
36,2,1,0
36,3,1,126
37,2,1,0
37,3,1,129
38,0,2,0
38,2,2,134
36,4,4,138
32,8,4,123
32,12,2,101
32,14,2,80
34,12,1,97
34,13,1,82
35,12,1,83
35,13,1,67
34,14,1,70
34,15,1,59
35,14,1,53
35,15,1,42
36,8,2,130
36,10,2,105
38,8,2,120
38,10,1,105
38,11,1,85
39,10,1,93
39,11,1,74
36,12,2,60
36,14,2,30
38,12,2,49
38,14,2,26
40,0,1,0
40,1,1,0
41,0,1,0
41,1,1,137
40,2,2,141
42,0,1,0
42,1,1,138
43,0,1,0
43,1,1,137
42,2,2,137
40,4,4,127
44,0,4,145
44,4,2,119
44,6,2,107
46,4,2,137
46,6,2,109
40,8,2,92
40,10,1,72
40,11,1,54
41,10,1,64
41,11,1,45
42,8,2,93
42,10,2,60
40,12,2,32
40,14,2,17
42,12,2,42
42,14,2,33
44,8,2,90
44,10,2,62
46,8,2,83
46,10,2,61
44,12,4,32
32,16,2,65
32,18,2,44
34,16,2,44
34,18,2,33
32,20,4,16
36,16,4,22
36,20,4,26
32,24,8,4
40,16,4,25
40,20,4,32
44,16,4,16
44,20,4,9
40,24,8,10
48,0,4,139
48,4,2,139
48,6,2,118
50,4,2,117
50,6,2,98
52,0,1,119
52,1,1,103
53,0,1,127
53,1,1,101
52,2,2,82
54,0,1,136
54,1,1,111
55,0,1,122
55,1,1,103
54,2,1,92
54,3,1,66
55,2,1,86
55,3,1,68
52,4,1,81
52,5,1,75
53,4,1,51
53,5,1,43
52,6,1,72
52,7,1,68
53,6,1,45
53,7,1,44
54,4,2,44
54,6,2,30
48,8,1,86
48,9,1,64
49,8,1,87
49,9,1,66
48,10,2,38
50,8,2,66
50,10,2,31
48,12,4,11
52,8,4,31
52,12,4,12
56,0,1,94
56,1,1,78
57,0,1,68
57,1,1,58
56,2,2,53
58,0,2,68
58,2,2,56
56,4,4,36
60,0,2,106
60,2,2,94
62,0,1,107
62,1,1,103
63,0,1,82
63,1,1,83
62,2,2,89
60,4,2,75
60,6,2,59
62,4,2,76
62,6,2,60
56,8,8,29
48,16,16,11
32,32,16,7
32,48,16,4
48,32,4,9
48,36,4,11
52,32,4,18
52,36,4,26
48,40,8,19
56,32,8,10
56,40,4,11
56,44,4,15
60,40,4,15
60,44,2,32
60,46,2,35
62,44,2,41
62,46,2,64
48,48,8,24
48,56,8,16
56,48,2,16
56,50,2,27
58,48,2,36
58,50,2,52
56,52,2,32
56,54,2,29
58,52,2,58
58,54,2,55
60,48,2,45
60,50,2,62
62,48,2,75
62,50,2,76
60,52,4,66
56,56,2,19
56,58,2,15
58,56,2,42
58,58,2,30
56,60,4,18
60,56,2,47
60,58,2,33
62,56,2,36
62,58,2,19
60,60,4,23
0,64,8,13
0,72,8,12
8,64,2,18
8,66,2,15
10,64,2,47
10,66,2,41
8,68,4,27
12,64,4,52
12,68,4,53
8,72,4,27
8,76,4,36
12,72,4,45
12,76,1,50
12,77,1,46
13,76,1,72
13,77,1,70
12,78,2,51
14,76,2,65
14,78,2,69
0,80,8,15
0,88,8,17
8,80,1,27
8,81,1,25
9,80,1,53
9,81,1,50
8,82,2,31
10,80,2,66
10,82,2,79
8,84,2,26
8,86,2,23
10,84,1,64
10,85,1,55
11,84,1,83
11,85,1,83
10,86,1,43
10,87,1,30
11,86,1,77
11,87,1,66
12,80,4,58
12,84,2,74
12,86,2,75
14,84,2,55
14,86,2,51
8,88,2,20
8,90,2,17
10,88,1,22
10,89,1,18
11,88,1,50
11,89,1,38
10,90,2,17
8,92,4,10
12,88,2,63
12,90,2,46
14,88,2,46
14,90,2,39
12,92,4,26
16,64,2,64
16,66,2,74
18,64,2,54
18,66,2,77
16,68,2,67
16,70,2,57
18,68,2,77
18,70,2,50
20,64,4,45
20,68,2,67
20,70,2,56
22,68,2,48
22,70,2,40
16,72,4,49
16,76,4,61
20,72,4,42
20,76,4,33
24,64,4,28
24,68,4,34
28,64,4,11
28,68,4,9
24,72,4,31
24,76,4,31
28,72,4,9
28,76,4,13
16,80,8,49
16,88,8,36
24,80,2,29
24,82,2,47
26,80,2,36
26,82,2,54
24,84,4,65
28,80,4,27
28,84,2,49
28,86,2,48
30,84,2,33
30,86,2,30
24,88,2,50
24,90,2,34
26,88,2,62
26,90,2,54
24,92,4,28
28,88,2,43
28,90,2,37
30,88,2,26
30,90,2,19
28,92,2,37
28,94,2,35
30,92,2,16
30,94,2,20
0,96,8,10
0,104,4,15
0,108,1,53
0,109,1,67
1,108,1,31
1,109,1,42
0,110,1,77
0,111,1,87
1,110,1,57
1,111,1,68
2,108,2,22
2,110,2,41
4,104,4,9
4,108,4,13
8,96,4,9
8,100,4,19
12,96,4,34
12,100,4,23
8,104,2,18
8,106,2,13
10,104,2,41
10,106,2,39
8,108,4,23
12,104,2,29
12,106,2,35
14,104,2,16
14,106,2,14
12,108,4,24
0,112,2,88
0,114,2,99
2,112,2,65
2,114,2,79
0,116,2,99
0,118,2,84
2,116,2,80
2,118,2,66
4,112,2,37
4,114,2,55
6,112,2,21
6,114,2,31
4,116,2,58
4,118,2,44
6,116,2,36
6,118,2,33
0,120,2,51
0,122,2,35
2,120,2,35
2,122,2,24
0,124,2,39
0,126,2,39
2,124,2,20
2,126,2,13
4,120,4,18
4,124,4,14
8,112,8,26
8,120,4,24
8,124,4,26
12,120,4,36
12,124,4,44
16,96,8,45
16,104,8,35
24,96,2,32
24,98,2,36
26,96,2,16
26,98,2,11
24,100,2,38
24,102,2,39
26,100,2,14
26,102,2,27
28,96,4,22
28,100,4,15
24,104,8,30
16,112,8,40
16,120,8,40
24,112,8,28
24,120,4,32
24,124,4,29
28,120,4,15
28,124,4,9
32,64,32,11
32,96,16,11
32,112,16,11
48,96,16,5
48,112,8,11
48,120,4,25
48,124,4,42
52,120,2,37
52,122,2,55
54,120,2,49
54,122,2,68
52,124,2,68
52,126,2,74
54,124,2,83
54,126,2,92
56,112,4,19
56,116,4,37
60,112,2,30
60,114,2,42
62,112,2,13
62,114,2,20
60,116,2,51
60,118,2,58
62,116,2,36
62,118,2,53
56,120,4,64
56,124,4,95
60,120,4,68
60,124,2,76
60,126,2,79
62,124,2,65
62,126,2,53
64,0,4,67
64,4,4,58
68,0,2,60
68,2,2,58
70,0,2,60
70,2,2,42
68,4,2,56
68,6,2,52
70,4,2,31
70,6,2,24
64,8,4,32
64,12,4,17
68,8,2,38
68,10,2,23
70,8,2,15
70,10,2,8
68,12,4,6
72,0,2,70
72,2,2,56
74,0,2,59
74,2,2,36
72,4,4,26
76,0,2,55
76,2,2,33
78,0,2,38
78,2,2,22
76,4,4,13
72,8,8,6
64,16,16,4
80,0,16,8
80,16,16,2
64,32,16,9
64,48,2,81
64,50,2,91
66,48,1,53
66,49,1,67
67,48,1,33
67,49,1,40
66,50,1,72
66,51,1,79
67,50,1,46
67,51,1,55
64,52,4,78
68,48,4,16
68,52,1,33
68,53,1,36
69,52,1,11
69,53,1,13
68,54,1,42
68,55,1,44
69,54,1,17
69,55,1,20
70,52,2,12
70,54,2,9
64,56,2,49
64,58,2,31
66,56,2,62
66,58,2,44
64,60,4,20
68,56,1,48
68,57,1,48
69,56,1,24
69,57,1,26
68,58,2,35
70,56,2,8
70,58,2,10
68,60,4,19
72,48,8,14
72,56,8,11
80,32,16,1
80,48,16,11
96,0,32,3
96,32,32,2
64,64,64,1
0,128,1,54
0,129,1,58
1,128,1,32
1,129,1,33
0,130,1,64
0,131,1,74
1,130,1,37
1,131,1,50
2,128,2,15
2,130,2,28
0,132,1,83
0,133,1,93
1,132,1,62
1,133,1,72
0,134,2,88
2,132,2,55
2,134,2,80
4,128,4,27
4,132,2,53
4,134,2,79
6,132,2,49
6,134,2,64
0,136,2,83
0,138,2,71
2,136,2,89
2,138,1,77
2,139,1,66
3,138,1,97
3,139,1,86
0,140,1,72
0,141,1,68
1,140,1,54
1,141,1,46
0,142,2,52
2,140,1,55
2,141,1,44
3,140,1,77
3,141,1,63
2,142,2,42
4,136,2,102
4,138,2,111
6,136,2,86
6,138,2,103
4,140,2,104
4,142,1,78
4,143,1,64
5,142,1,108
5,143,1,100
6,140,2,110
6,142,2,109
8,128,2,17
8,130,2,26
10,128,2,39
10,130,2,42
8,132,4,39
12,128,4,51
12,132,4,38
8,136,2,54
8,138,2,69
10,136,2,40
10,138,2,48
8,140,2,83
8,142,2,94
10,140,2,62
10,142,2,77
12,136,4,36
12,140,4,47
0,144,4,53
0,148,4,65
4,144,1,57
4,145,1,62
5,144,1,93
5,145,1,89
4,146,2,77
6,144,2,107
6,146,2,105
4,148,2,83
4,150,2,83
6,148,2,103
6,150,2,100
0,152,4,54
0,156,4,62
4,152,2,76
4,154,1,58
4,155,1,54
5,154,1,78
5,155,1,74
6,152,2,95
6,154,2,89
4,156,4,73
8,144,4,94
8,148,4,95
12,144,2,70
12,146,2,77
14,144,2,50
14,146,2,53
12,148,2,81
12,150,2,81
14,148,2,55
14,150,2,57
8,152,4,85
8,156,4,77
12,152,2,74
12,154,2,70
14,152,2,50
14,154,2,46
12,156,2,68
12,158,2,69
14,156,2,47
14,158,2,48
16,128,8,29
16,136,8,34
24,128,8,17
24,136,4,9
24,140,4,19
28,136,4,27
28,140,4,26
16,144,4,55
16,148,4,64
20,144,4,43
20,148,4,54
16,152,8,59
24,144,8,29
24,152,4,39
24,156,4,32
28,152,4,19
28,156,4,18
0,160,2,80
0,162,1,109
0,163,1,125
1,162,1,92
1,163,1,107
2,160,2,81
2,162,2,97
0,164,1,136
0,165,1,145
1,164,1,118
1,165,1,127
0,166,2,144
2,164,2,112
2,166,2,122
4,160,2,90
4,162,2,106
6,160,2,71
6,162,1,78
